Property ID,Link,Address,Property Type,Sales,First Sale Type,First Sale Date,First Sale Price,Sales Count,Page Number
vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,"Vejlegårdsparken 12, 2. 27.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Vejleg\u00e5rdsparken 12, 2. 27.2665 Vallensb\u00e6k Strand"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 19102023.0, ""Raw Price"": ""19-10-2023""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""28-01-2022"", ""Raw Sale Date"": ""28-01-2022"", ""Price"": 2000000.0, ""Raw Price"": ""2.000.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""16-01-2019"", ""Raw Sale Date"": ""16-01-2019"", ""Price"": 1630000.0, ""Raw Price"": ""1.630.000""}]",Foreclosure,Tvangsauktion,19102023.0,3,1
strandlyst-alle-55-2650-hvidovre-01678005__55_______,/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,Strandlyst Alle 55,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Strandlyst Alle 552650 Hvidovre"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 19102023.0, ""Raw Price"": ""19-10-2023""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""24-08-2017"", ""Raw Sale Date"": ""24-08-2017"", ""Price"": 2735000.0, ""Raw Price"": ""2.735.000""}, {""Sale Type"": ""Family Sale"", ""Raw Sale Type"": ""Familie handel"", ""Sale Date"": ""18-10-1999"", ""Raw Sale Date"": ""18-10-1999"", ""Price"": 465000.0, ""Raw Price"": ""465.000""}]",Foreclosure,Tvangsauktion,19102023.0,3,1
nordlundsvej-25-2650-hvidovre-01676033__25_______,/adresse/nordlundsvej-25-2650-hvidovre-01676033__25_______,Nordlundsvej 25,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Nordlundsvej 252650 Hvidovre"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 4102023.0, ""Raw Price"": ""04-10-2023""}, {""Sale Type"": ""Family Sale"", ""Raw Sale Type"": ""Familie handel"", ""Sale Date"": ""31-03-1992"", ""Raw Sale Date"": ""31-03-1992"", ""Price"": 815000.0, ""Raw Price"": ""815.000""}]",Foreclosure,Tvangsauktion,4102023.0,2,1
hyrdevangen-15-2640-hedehusene-01693167__15_______,/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Hyrdevangen 152640 Hedehusene"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 18092023.0, ""Raw Price"": ""18-09-2023""}, {""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Tvangsauktion"", ""Sale Date"": ""16-11-2022"", ""Raw Sale Date"": ""16-11-2022"", ""Price"": 2541500.0, ""Raw Price"": ""2.541.500""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""18-03-2016"", ""Raw Sale Date"": ""18-03-2016"", ""Price"": 2400000.0, ""Raw Price"": ""2.400.000""}]",Foreclosure,Tvangsauktion,18092023.0,3,1
klardam-4-2650-hvidovre-01674719___4_______,/adresse/klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Klardam 42650 Hvidovre"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 22062023.0, ""Raw Price"": ""22-06-2023""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""11-09-2005"", ""Raw Sale Date"": ""11-09-2005"", ""Price"": 2350000.0, ""Raw Price"": ""2.350.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""07-07-2004"", ""Raw Sale Date"": ""07-07-2004"", ""Price"": 1645000.0, ""Raw Price"": ""1.645.000""}]",Foreclosure,Tvangsauktion,22062023.0,3,1
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",Villalejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Lyngbyvej 365, st.2820 Gentofte"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 14062023.0, ""Raw Price"": ""14-06-2023""}, {""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Tvangsauktion"", ""Sale Date"": ""08-07-2009"", ""Raw Sale Date"": ""08-07-2009"", ""Price"": 3300000.0, ""Raw Price"": ""3.300.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""11-12-2006"", ""Raw Sale Date"": ""11-12-2006"", ""Price"": 2450000.0, ""Raw Price"": ""2.450.000""}]",Foreclosure,Tvangsauktion,14062023.0,3,1
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",Villalejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Lyngbyvej 365, 1. 1.2820 Gentofte"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 14062023.0, ""Raw Price"": ""14-06-2023""}, {""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Tvangsauktion"", ""Sale Date"": ""08-07-2009"", ""Raw Sale Date"": ""08-07-2009"", ""Price"": 3300000.0, ""Raw Price"": ""3.300.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""11-12-2006"", ""Raw Sale Date"": ""11-12-2006"", ""Price"": 2450000.0, ""Raw Price"": ""2.450.000""}]",Foreclosure,Tvangsauktion,14062023.0,3,1
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",Villalejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Lyngbyvej 365, 1.2820 Gentofte"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 14062023.0, ""Raw Price"": ""14-06-2023""}, {""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Tvangsauktion"", ""Sale Date"": ""08-07-2009"", ""Raw Sale Date"": ""08-07-2009"", ""Price"": 3300000.0, ""Raw Price"": ""3.300.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""11-12-2006"", ""Raw Sale Date"": ""11-12-2006"", ""Price"": 2450000.0, ""Raw Price"": ""2.450.000""}]",Foreclosure,Tvangsauktion,14062023.0,3,1
vaarfluevej-21-2610-roedovre-01750968__21_______,/adresse/vaarfluevej-21-2610-roedovre-01750968__21_______,Vårfluevej 21,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""V\u00e5rfluevej 212610 R\u00f8dovre"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 30052023.0, ""Raw Price"": ""30-05-2023""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""06-11-2019"", ""Raw Sale Date"": ""06-11-2019"", ""Price"": 5150000.0, ""Raw Price"": ""5.150.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""18-10-2017"", ""Raw Sale Date"": ""18-10-2017"", ""Price"": 2850000.0, ""Raw Price"": ""2.850.000""}]",Foreclosure,Tvangsauktion,30052023.0,3,1
aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,/adresse/aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,"Aldershvilevej 125, 2. th.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Aldershvilevej 125, 2. th.2880 Bagsv\u00e6rd"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 25052023.0, ""Raw Price"": ""25-05-2023""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""24-01-2017"", ""Raw Sale Date"": ""24-01-2017"", ""Price"": 1995000.0, ""Raw Price"": ""1.995.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""01-08-2011"", ""Raw Sale Date"": ""01-08-2011"", ""Price"": 1550000.0, ""Raw Price"": ""1.550.000""}]",Foreclosure,Tvangsauktion,25052023.0,3,2
spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,/adresse/spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,"Spaden C 4, st. 2.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Spaden C 4, st. 2.2630 Taastrup"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 15052023.0, ""Raw Price"": ""15-05-2023""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""29-04-2007"", ""Raw Sale Date"": ""29-04-2007"", ""Price"": 818000.0, ""Raw Price"": ""818.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""01-06-2005"", ""Raw Sale Date"": ""01-06-2005"", ""Price"": 510000.0, ""Raw Price"": ""510.000""}]",Foreclosure,Tvangsauktion,15052023.0,3,2
niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,/adresse/niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,Niels Frederiksens Alle 6,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Niels Frederiksens Alle 62610 R\u00f8dovre"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 15032023.0, ""Raw Price"": ""15-03-2023""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""12-05-2010"", ""Raw Sale Date"": ""12-05-2010"", ""Price"": 2100000.0, ""Raw Price"": ""2.100.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""14-05-2003"", ""Raw Sale Date"": ""14-05-2003"", ""Price"": 1741850.0, ""Raw Price"": ""1.741.850""}]",Foreclosure,Tvangsauktion,15032023.0,3,2
ejbysvinget-60-2600-glostrup-01610099__60_______,/adresse/ejbysvinget-60-2600-glostrup-01610099__60_______,Ejbysvinget 60,Rækkehus,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Ejbysvinget 602600 Glostrup"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 7022023.0, ""Raw Price"": ""07-02-2023""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""03-11-2008"", ""Raw Sale Date"": ""03-11-2008"", ""Price"": 3275000.0, ""Raw Price"": ""3.275.000""}]",Foreclosure,Tvangsauktion,7022023.0,2,2
jernbane-alle-6-2630-taastrup-01693546___6_______,/adresse/jernbane-alle-6-2630-taastrup-01693546___6_______,Jernbane Alle 6,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Jernbane Alle 62630 Taastrup"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 12012023.0, ""Raw Price"": ""12-01-2023""}, {""Sale Type"": ""Family Sale"", ""Raw Sale Type"": ""Familie handel"", ""Sale Date"": ""05-10-2016"", ""Raw Sale Date"": ""05-10-2016"", ""Price"": 1490566.0, ""Raw Price"": ""1.490.566""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""04-09-2015"", ""Raw Sale Date"": ""04-09-2015"", ""Price"": 2175000.0, ""Raw Price"": ""2.175.000""}]",Foreclosure,Tvangsauktion,12012023.0,3,2
ved-renden-47-2870-dyssegaard-01570920__47_______,/adresse/ved-renden-47-2870-dyssegaard-01570920__47_______,Ved Renden 47,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Ved Renden 472870 Dysseg\u00e5rd"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 2112022.0, ""Raw Price"": ""02-11-2022""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""08-06-2015"", ""Raw Sale Date"": ""08-06-2015"", ""Price"": 5600000.0, ""Raw Price"": ""5.600.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""31-03-1994"", ""Raw Sale Date"": ""31-03-1994"", ""Price"": 1252680.0, ""Raw Price"": ""1.252.680""}]",Foreclosure,Tvangsauktion,2112022.0,3,2
gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,/adresse/gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,"Gentoftegade 36, 3. mf.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Gentoftegade 36, 3. mf.2820 Gentofte"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 2112022.0, ""Raw Price"": ""02-11-2022""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""27-07-2021"", ""Raw Sale Date"": ""27-07-2021"", ""Price"": 2160000.0, ""Raw Price"": ""2.160.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""10-08-2020"", ""Raw Sale Date"": ""10-08-2020"", ""Price"": 1495000.0, ""Raw Price"": ""1.495.000""}]",Foreclosure,Tvangsauktion,2112022.0,3,2
boulevarden-14-0-65-2800-kongens-lyngby-01730086__14_st__65,/adresse/boulevarden-14-0-65-2800-kongens-lyngby-01730086__14_st__65,"Boulevarden 14, st. 65.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Boulevarden 14, st. 65.2800 Kongens Lyngby"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 24082022.0, ""Raw Price"": ""24-08-2022""}]",Foreclosure,Tvangsauktion,24082022.0,1,2
leen-d-2-1-4-2630-taastrup-01694320___2__1___4,/adresse/leen-d-2-1-4-2630-taastrup-01694320___2__1___4,"Leen D 2, 1. 4.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Leen D 2, 1. 4.2630 Taastrup"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 7072022.0, ""Raw Price"": ""07-07-2022""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""08-04-1998"", ""Raw Sale Date"": ""08-04-1998"", ""Price"": 462000.0, ""Raw Price"": ""462.000""}, {""Sale Type"": ""Family Sale"", ""Raw Sale Type"": ""Familie handel"", ""Sale Date"": ""29-09-1996"", ""Raw Sale Date"": ""29-09-1996"", ""Price"": 361771.0, ""Raw Price"": ""361.771""}]",Foreclosure,Tvangsauktion,7072022.0,3,2
topperne-7-0-2-2620-albertslund-01650532___7_st___2,/adresse/topperne-7-0-2-2620-albertslund-01650532___7_st___2,"Topperne 7, st. 2.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Topperne 7, st. 2.2620 Albertslund"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 21042022.0, ""Raw Price"": ""21-04-2022""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""01-05-2017"", ""Raw Sale Date"": ""01-05-2017"", ""Price"": 625000.0, ""Raw Price"": ""625.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""01-03-2013"", ""Raw Sale Date"": ""01-03-2013"", ""Price"": 269000.0, ""Raw Price"": ""269.000""}]",Foreclosure,Tvangsauktion,21042022.0,3,2
lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,/adresse/lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,"Lindevangshusene 82, st. th.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Lindevangshusene 82, st. th.2630 Taastrup"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 11012022.0, ""Raw Price"": ""11-01-2022""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""09-02-2007"", ""Raw Sale Date"": ""09-02-2007"", ""Price"": 1745000.0, ""Raw Price"": ""1.745.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""28-04-2002"", ""Raw Sale Date"": ""28-04-2002"", ""Price"": 1042236.0, ""Raw Price"": ""1.042.236""}]",Foreclosure,Tvangsauktion,11012022.0,3,2
